Classification,Feature,One-liner Explanation,,,,,,,,,,,
Non-Negotiable Benefits,Infinite Care,Get one-time infinite claim amount for your selected claim.,,,,,,,,,,,
Non-Negotiable Benefits,Consumables & Non-Payable Cover,"Covers hospital consumables and non-payable items such as gloves, syringes, implants, stents, and similar medical disposables during hospitalization.",,,,,,,,,,,
Non-Negotiable Benefits,Inflation Protector,"Automatically increases your health cover every year, keeping you protected against rising medical costs",,,,,,,,,,,
Non-Negotiable Benefits,No Claim Bonus,Your sum insured should increase every claim-free year without increasing premium.,,,,,,,,,,,
Non-Negotiable Benefits,Restoration Benefit,Reinstates exhausted sum insured after claim usage.,,,,,,,,,,,
Must Have,In Patient Hospitalization,Covers medical expenses for hospitalisation exceeding 24 hours.,,,,,,,,,,,
Must Have,2 Hours Hospitalization,Covers specified treatments requiring minimum 2 hours of hospitalisation.,,,,,,,,,,,
Must Have,Pre & Post Hospitalization,Covers medical expenses incurred before and after hospitalisation as defined.,,,,,,,,,,,
Must Have,Room Rent,Covers hospital room charges up to eligible limits.,,,,,,,,,,,
Must Have,ICU Charges,Covers expenses incurred for treatment in ICU.,,,,,,,,,,,
Must Have,Day Care Treatments,Covers listed procedures not requiring 24-hour admission.,,,,,,,,,,,
Good to Have,Domiciliary Treatment,Covers treatment taken at home due to medical necessity.,,,,,,,,,,,
Good to Have,AYUSH Treatment,"Covers Ayurveda, Yoga, Unani, Siddha and Homeopathy treatments.",,,,,,,,,,,
Good to Have,Ambulance Cover,Covers emergency ambulance transportation expenses.,,,,,,,,,,,
Good to Have,Donor Expenses,Covers organ donor hospitalisation costs when insured is recipient.,,,,,,,,,,,
Good to Have,Health Check-up,Covers preventive health check-ups at specified intervals.,,,,,,,,,,,
Good to Have,Air Ambulance,Covers emergency transportation through air ambulance.,,,,,,,,,,,
Good to Have,Surrogate Mother Hospitalisation,Covers hospitalisation expenses related to surrogate mother.,,,,,,,,,,,
Good to Have,Oocyte Donor Hospitalisation,Covers hospitalisation of egg donor for assisted reproduction.,,,,,,,,,,,
Good to Have,Bariatric Surgery,Covers weight-loss surgery subject to medical criteria.,,,,,,,,,,,
Good to Have,Teleconsultation,Allows consultation with qualified doctors through phone or video without visiting a hospital.,,,,,,,,,,,
Good to Have,Specific Illness Waiting Period Reduction,Reduces waiting period for listed illnesses to one year.,,,,,,,,,,,
Special Features,Durable Medical Equipment,Covers medically necessary equipment prescribed post-hospitalisation.,,,,,,,,,,,
Special Features,Dependent Accommodation Benefit,Covers accommodation expenses for an attendant.,,,,,,,,,,,
Special Features,Compassionate Visit,Covers travel expenses of close family during hospitalisation.,,,,,,,,,,,
Special Features,Convalescence Benefit,Provides lump-sum benefit after prolonged hospitalisation.,,,,,,,,,,,
Special Features,Critical Illness,Pays lump-sum on diagnosis of specified critical illnesses.,,,,,,,,,,,
Special Features,Personal Accident,Covers accidental death or permanent disability.,,,,,,,,,,,
Special Features,OPD+,"Covers outpatient consultations, diagnostics and medicines.",,,,,,,,,,,
Special Features,Befit,"Covers outpatient consultations, diagnostics and medicines.",,,,,,,,,,,
Special Features,Modern Treatment,Covers advanced medical treatments like robotic surgery.,,,,,,,,,,,
Special Features,Worldwide Treatment,Covers planned treatment taken outside India.,,,,,,,,,,,
Special Features,Animal Bite Vaccination,Covers vaccination expenses due to animal bite.,,,,,,,,,,,
Special Features,Daily Allowance,Pays fixed daily amount during hospitalisation.,,,,,,,,,,,
Special Features,Fast Forward,Combine Multi Tenure Sum Insured to be used Anytime. Applicable for Base and M-iracle Sum Insured.,,,,,,,,,,,
Special Features,Future Ready,Guaranteed Issuance & Continuity on waiting periods served by you for your future spouse,,,,,,,,,,,
Special Features,Enhanced SI for Road Traffic Accident,Provides higher coverage for accident-related hospitalisation.,,,,,,,,,,,
Special Features,Vaccination Cover,Covers specified preventive vaccinations.,,,,,,,,,,,
Special Features,Infertility Treatment,Covers infertility treatment expenses if opted.,,,,,,,,,,,
Special Features,Medical Evacuation,Covers the cost of emergency transportation to the nearest appropriate medical facility.,,,,,,,,,,,
Special Features,Medical Repatriation,Covers cost of returning insured to home country.,,,,,,,,,,,
Special Features,Repatriation of Mortal Remains,Covers transportation of mortal remains.,,,,,,,,,,,
Special Features,2X Multiplier Benefit,Doubles sum insured on meeting defined conditions.,,,,,,,,,,,
Special Features,Daily Cash for Insured Child,Pays daily allowance for accompanying child.,,,,,,,,,,,
Special Features,Hospital Cash Benefit,Provides fixed cash benefit per hospitalisation day.,,,,,,,,,,,
Special Features,Road Traffic Accident,Covers accident-related hospitalisation expenses.,,,,,,,,,,,
Special Features,Recovery Benefit,Provides lump-sum on recovery after hospitalisation.,,,,,,,,,,,
Special Features,Family Visit,Covers travel expenses for family visit.,,,,,,,,,,,
Special Features,Extended Policy Tenure,Allows long-term policy tenure options.,,,,,,,,,,,
Special Features,Enhanced Cumulative Bonus,Provides higher cumulative bonus growth.,,,,,,,,,,,
Special Features,Room Rent Modification,Allows flexibility in room rent selection.,,,,,,,,,,,
Special Features,4X Multiplier Benefit,Quadruples sum insured on meeting conditions.,,,,,,,,,,,
Optional covers,Waiver of Deductible,Deductible amount is waived off for claims.,,,,,,,,,,,
Optional covers,Guaranteed Deductible Reduction,Deductible reduces over continuous policy years.,,,,,,,,,,,
Optional covers,Shared Accomodation,Allows the insured to opt for a shared hospital room with applicable room rent discounts or reduced co-payment,,,,,,,,,,,
Maternity Coverage,New Born Baby,Covers newborn baby from day one if opted.,,,,,,,,,,,
Maternity Coverage,New Born Vaccinations,Covers vaccination expenses in first year.,,,,,,,,,,,
Maternity Coverage,Utero Fetal Surgery,Covers medically necessary fetal surgery.,,,,,,,,,,,
Maternity Coverage,Assisted Reproduction Treatment,Covers assisted reproductive procedures if opted.,,,,,,,,,,,
Treatments & Procedures,Cataract Treatment,Covers cataract surgery subject to limits.,,,,,,,,,,,
Treatments & Procedures,Lump Sum Cancer,Provides lump-sum benefit on cancer diagnosis.,,,,,,,,,,,
Treatments & Procedures,Cardiac Devices,Covers implantation of cardiac devices.,,,,,,,,,,,
Treatments & Procedures,Heart Transplantation,Covers expenses related to heart transplant.,,,,,,,,,,,
Treatments & Procedures,Hearing Aid,Covers hearing aid expenses if specified.,,,,,,,,,,,
Treatments & Procedures,Lasik Surgery Cover,Covers refractive eye surgery after waiting period.,,,,,,,,,,,
Treatments & Procedures,Dental & Ophthalmic Treatment,Covers dental and eye treatments subject to limits.,,,,,,,,,,,
Treatments & Procedures,Vector Borne Disease Benefit,Provides fixed benefit for vector borne diseases.,,,,,,,,,,,
Treatments & Procedures,Stem Cell Storage,Covers stem cell harvesting and storage if opted.,,,,,,,,,,,
Treatments & Procedures,HIV/AIDS Cover,Covers HIV/AIDS related treatment after waiting period.,,,,,,,,,,,
Treatments & Procedures,Mental Care Cover,Covers inpatient mental health treatment.,,,,,,,,,,,
Value Added ,Health Assessment,Covers periodic health assessment tests.,,,,,,,,,,,
Value Added ,Health Return,Returns part of premium based on wellness criteria.,,,,,,,,,,,
Value Added ,Rise Tiered Network,Provides different benefits depending on the tier of hospital within the insurer’s network.,,,,,,,,,,,
Value Added ,Second Opinion for Critical Illness,Provides expert opinion for critical illness diagnosis.,,,,,,,,,,,
Value Added ,Wellness Program,Rewards healthy activities through points or benefits.,,,,,,,,,,,
Value Added ,NRI Advantage,Offers special benefits for Non-Resident Indians.,,,,,,,,,,,
Value Added ,Chronic Disease Management Program,Provides structured care for chronic illnesses.,,,,,,,,,,,
Value Added ,Care Management Program,Provides personalised medical coordination services.,,,,,,,,,,,
Value Added ,Medi Voucher,Provides health service vouchers.,,,,,,,,,,,
Value Added ,Money Back,Returns part of premium or sum insured at intervals.,,,,,,,,,,,
Value Added ,Dialysis Cover,Covers dialysis treatment expenses.,,,,,,,,,,,
Value Added ,Home Care,Covers medically supervised treatment and healthcare services provided at home.,,,,,,,,,,,
Value Added ,Expert Option,Option to choose,,,,,,,,,,,
Value Added ,Premium Waiver Benefit,Waives future premiums on specified events.,,,,,,,,,,,
Value Added ,Hospice Care,Covers palliative care for terminal illness.,,,,,,,,,,,
Value Added ,Instalment Premium Option,Allows premium payment in instalments.,,,,,,,,,,,
Waiting Periods,Initial waiting period,Covers after 30 days,,,,,,,,,,,
Waiting Periods,Coverage of Pre-Existing Diseases,Covers pre-existing diseases after a specified waiting period (typically 3 years).,,,,,,,,,,,
Waiting Periods,Specific Illness Waiting Period ,"Covers specified illnesses after a defined waiting period, typically around 2 years.",,,,,,,,,,,
Facts to know,Migration,Allows shifting to another plan within insurer.,,,,,,,,,,,
Facts to know,Portability,Allows policy transfer with continuity benefits.,,,,,,,,,,,
Facts to know,Moratorium Period,No claim denial after 8 continuous years except fraud.,,,,,,,,,,,
Facts to know,No Sub-limits,"Avoids caps on ICU charges, Surgeries, Room category & Modern treatments. Sub-limits drastically reduce claim payouts.",,,,,,,,,,,
Facts to know,Free Look,Allows policy cancellation within free look period.,,,,,,,,,,,
Disease Protection,Jumpstart,Partial coverage for select illnesses from policy inception.,,,,,,,,,,,
Disease Protection,Waiting Period Reduction,Reduces standard waiting periods for select covers.,,,,,,,,,,,
Red Flag,Co-Payment,Percentage of claim amount borne by insured.,,,,,,,,,,,
Red Flag,Mandatory Co-payment,You must pay a fixed percentage of every claim from your own pocket.,,,,,,,,,,,
Red Flag,Room Rent/Sub-limits,Daily room rent caps can trigger proportionate deductions on your entire hospital bill.,,,,,,,,,,,
Red Flag,Suspiciously Low Premiums,Exceptionally cheap plans often hide strict exclusions and high out-of-pocket costs.,,,,,,,,,,,
Core Hospitalisation & Claims,Hassle Free Claims,Simplified and faster claims settlement support.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
